 Em đang xả với 1xx+freship ai qtam ib em nhé,0
"1 số đặt đc lần nhiều đơn hả mọi người, tưởng mỗi lần 1 đơn chứ.",0
Ác quá🙄,0
Ác thật 😔,0
Ác vl ,1
ad cứ để số đt ra ko cần che. Cho nó hết dùng sim luôn,0
Ae chánh ta,0
Anh Chun có phải trò này mày chuyên làm ko hả ?,0
Anh Nguyen mượn đt làm vài đơn Now,0
"Bắt đc cho nó ăn hết số đồ nó đặt,  nôn ra thì bắt nó húp lại",0
Bắt dc đập chết luôn,1
Bắt dc giã chết mẹ nó đi,1
Bắt đc nhét cứt vào mõm đku con súc vật,1
Bắt được cho nó bốc cứt nó ăn...,1
Bắt ng đó bỏ tù.,0
Bây giờ phải đặt hàng qua fb ý thì mới không thoát được,0
Bây h mới thấy ý nghĩa của sdt chính chủ chưa?,0
bọn chó lợn.,1
Bọn này cho ăn búa,0
"CA thì chả có gì mà ko tìm ra ở xh này. đã có số đt thì check nhà mạng xem số đt đó có chính chủ ko, số đt đó đã liên lạc với nhũng ai..nếu số đt đó là sim rác thì khoanh vùng xem nó được dùng ở khu vực nào, IP là gì..đừng ngu mà làm trò mất dậy. muốn người khác không biết trừ khi đừng làm.",0
Các anh shiper đến thấy cùng 1 sdt đặt,0
Các anh shipper lúc này,0
Các đồng nghiệp lúc này,0
"Các hãng công nghệ nên yêu cầu đồ ăn phải được thanh toán bằng tiền trên ví trong app trước. Có thể mất một số Kh nhưng lại được sự an toàn cho các shiper, phân loại được KH và khuyến khích thanh toán không bằng tiền mặt",0
"Các loại hình giao hàng này cần phải có điều kiện thoải mãn nhu cầu giao hàng của shipper và bảo đảm cho shipper. Vì vậy, trên các ứng dụng đặt đồ ăn, thức uống, ... cần có chế độ bắt buộc đăng ký ảnh, cmnd của người dùng và không cho thay đổi lúc đăng ký và có thể thay đổi về sau nhưng phải lên cty. Khi truy cứu ngược cứ lấy ảnh người đó ra chỉ trích trên mxh. Phải siết chặt như vậy mới được.",0
Cái bọn củ lìn này đéo hiểu nghĩ gì nữa,1
Cái đkm nhà nó nữa,1
Cái dm nhà nó chứ,1
"Cái loại hết từ tả 
",0
Cái loại này có khép đc vào tội hình sự k nhỉ? Xin lỗi chứ dcm đò mất dậy,1
"Cái loại này thì chỉ nên ăn sầu riêng, ăn nguyên trái vào mồm mới vừa!",1
cái này khách không nhận là shipper phải ôm à mn,0
Cái này là trả thù cá nhân rồi. Chắc chủ nhà có thù gì đó vs thằng oder. Dkm thằng cờ hó 😡,1
Cái thứ tiểu nhân bỉ ổi đmm,1
cần phải cho đi tù mới có tính răn đe,0
Cay mũi,0
Cay vcl,1
Chả hiểu kiểu gì 🤨,0
chắc chắn là đi uống trả sữa ở đâu đó  bị gặp chuyện gì đó cay mà đéo làm gì được về nhà làm trò này :)) không đùa với CA nước mình được đâu vài hôm là thấy trên phường đền ngay ấy mà :)),1
Chắc có thâm thù gì,0
Chắc hận thù cá nhân gì với chủ nhà đó.chơi ác mất bao tiền bạc công sức thời gian của những ng k liên quan,0
Chắc k phải ng nam đâu thấy mấy bạn phân biệt vùng miền trong đó nói chỉ có bắc kì mới chơi kì zợ á 😂,0
Chắc k phải ng nam đâu thấy mấy bạn phân biệt vùng miền trong đó nói chỉ có bắc kì mới chơi kì 😂,0
Chắc là đang tìm cảm giác nhiều người theo đuổi 🤦,0
Chắc lại bọn trẻ trâu chứ người lớn chả ai làm thế này,0
Chắc lại là chuyện yêu đơn phương rồi 🤣,0
Chắc nhà nyc. 😶,0
"Chắc tâm thần phân liệt bà nó r, chứ người bình thường đéo ai làm thế. Báo công an không giải quyết dk j à",1
Chắc thần kinh rồi,1
Chắc thằng này bị tâm thần đấy mà 🥵,1
chắc thằng này thù goviet ,0
Chắc ức chế vì mua hàng onlie bị lừa  Nhìu quá,0
Chán vl 🙃🙃🙂🙂,1
Chang Chang vãi thiệt @@,1
Che số điện thoại nó làm cl gì không biết,1
Che số đt làm cái qq gì ko biết nữa,1
"Che số làm đéo gì, tối nay tao kéo anh em t gọi cho nó chết con đỉ mẹ nó 😑",1
Che số làm gì. Để ae nháy cháy máy thôi,0
Che số lm j để đấy mọi ng còn tránh ,0
Chó,1
Chó  chứ k phải ng,1
Cho bóc lịch hết mẹ đi lũ thất đức,1
Chó chứ ko phải người,1
"Cho hiện nguyên hình full sđt lên , ae bàn phím cho biết thế nào là lễ độ",0
cho sdt lên công an họ tìm cho,0
Chơi ác thật đấy,0
Chơi méo đẹp chút nào !,0
Chơi ngu rồi. Nhiều như vậy công an vào cuộc là ra ngay. Sim này bán tại khu vực nào. Đại lý nào nhập. Soi ra người bán kẻ mua ngay,1
Chúng m trả lời t đi,0
"có cm gì đâu , tối nay các a lại mỗi người 1 túi ""sơn"" qua sơn cửa lại giùm chủ nhà là đẹp",1
Có hội nhóm nào chuyên chia sẻ list số đt boom hàng để các chủ shop share nhau không mọi người nhỉ ?,0
Có nên làm thêm cái chế tài để xử phạt cái bọn thất đức vô học này nữa k?các app cũng nên yêu cầu khắt khe hơn trong việc đăng ký tài khoản.đm cái thứ súc sinh.,1
Có nên truy tố tội quấy rối người khác không nhỉ 😑,0
"Còn che số làm cc gì, công khai để người khác biết mà tránh",1
Con mẹ nó,1
con này cc chớ con người gì ,1
"Con người vô nhân tính! 
",1
Công an có vào cuộc ko? ,0
"Công an mà tìm ra chắc hôm sau éo dám ra đường 
Ae tao hoạt đồng khắp nơi kkk",0
công bố số luôn đi ad,0
Công khai số nhà lên là có info ngay,0
Công khai số nó lên để mọi ng nhắn tin chửi chết mẹ nó đi,1
Công khai thằng bom hàng để mn tránh nó chứ,0
Connckt Tiền,0
Cứ thằng chủ nhà hàng đó mà ra chứ đâu. Người khác bom đâu có lợi gì trừ người nhà nó,0
Cũng có thể là bố nào cay chơi xỏ.,0
"cũng khoai phết, hôm trước thằng em nó bị mất điện thoại chưa kịp thông báo khóa sim thì hôm nay nhà mạng thông báo đóng tiền 1,4 củ vì thuê bao mua tốc độ 4G",0
Cùng nhau lên công an phường trình báo.,0
Đ bằng súc vật 🤬,1
Đ' có não hay răng bay??? ,1
Đ hiểu luôn dcm loại này tìm đc nhồi cứt vào mồm nó bắt ăn cho chừa.dịch ở nhà rảnh hay ngáo nữa 🤬🤬🤬,1
Đ hiểu sao làm đc cái trò này luôn 🤷🏻‍♀️ khổ thân các anh shiper đã phải đi làm mùa dịch rồi nắng nóng lại còn dây phải cứt như này ,1
Đã vậy còn che sđt lmj. Share cho mấy a shipper còn bíêt 🙂,0
Đây nó là lỗ hổng của ship cần có cơ chế khác,0
"Đấy, cứ bảo không được chửi khách hàng, chứ đặt xong rồi boom lại chả muốn bổ chết à. ",0
Đcm sống đéo để đức cho con cháu sau này 😣,1
Dễ mà .  tìm ra xử lý hình sự chết cụ m đi,1
Đến khi bị tóm được thì,0
Đéo có ý thức loz gì,1
Đéo hiểu nó nghĩ cái gì nữa người ta bỏ công bỏ sức ra phục vụ mà còn vậy. ,1
Đhs k cho sđt hẳn ra để người ta còn tránh. Lại còn đi che che mở mở. ,0
đi ship hàng có sung sướng l gi đâu  bụi bặm đau hết ng   đói nhăn răng ra còn mang đồ ăn cho chúng mày   thế mà chơi cái trò khốn nạn thế này,1
Đkm đây chắc hẳn là 1 âm mưu cao siêu nào đó. Chứ người bình thg đéo ai ăn ở khốn nạn như vậy,1
Đm,1
"Đm hôm qua tao cũng kiểu bị hack tk grab hay sao mà 1 buổi chiều 5 ship gọi hỏi có phải đặt mua bún, phở trà sữa k mà rõ điện thoại cầm tay k lgi cả, ",1
Dm loại khốn nạn.nếu địa vị là người trong nhà nó mà bị thế thì nó chắc vui lắm???,1
Đm loại này đéo sống lâu được.,1
Đm óc cứt!,1
"Đm sao mấy cty Grab với Goviet ko làm cái xác nhận danh tính khách hàng ấy.Để nó có bom hàng còn có cơ sở để hỗ trợ anh em tài xế chứ.Sợ nhất mấy quả giao hàng ứng tiền.Ứng mấy trăm 1 triệu nó bom cái là các anh công toi mấy ngày trời.
Đây khách méo nào đặt kiểu gì cũng OK.
Lên cty khiếu nại viện đủ lý do cuối cùng thì hỗ trợ tiền cuốc xe đấy may ra được vài chục bạc.",1
